codigo,descricao,tipo,unidade,preco_custo,preco_venda,estoque_minimo,aliq_icms,aliq_ipi,aliq_pis,aliq_cofins,ncm
ACP-005,"ABRAC D C/PARAF 1 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
ACP-006,"ABRAC D C/PARAF 2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
ACP-007,"ABRAC D C/PARAF 2 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
ACP-008,"ABRAC D C/PARAF 3""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
ACP-009,"ABRAC D C/PARAF 3 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
ACP-010,"ABRAC D C/PARAF 4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
ACP-011,"ABRAC D C/PARAF 6""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
ACP-012,"ABRAC D C/PARAF INOX 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
ACP-013,"ABRAC D C/PARAF INOX 3/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
ACP-014,"ABRAC D C/PARAF INOX 1""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
ACP-015,"ABRAC D C/PARAF INOX 1 1/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
ACP-016,"ABRAC D C/PARAF INOX 1 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
ACP-017,"ABRAC D C/PARAF INOX 2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
ACP-018,"ABRAC D C/PARAF INOX 2 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
ACP-019,"ABRAC D C/PARAF INOX 3""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
ACP-020,"ABRAC D C/PARAF INOX 3 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
ACP-021,"ABRAC D C/PARAF INOX 4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
BAL-001,BALANCIM,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
BR-001,"BARRA ROSC INOX 1/4"" X 1/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
BR-002,"BARRA ROSC INOX 3/8"" X 3/8""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
BR-003,"BARRA ROSC ZB 1/2"" X 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
BR-004,"BARRA ROSC ZB 1/4"" X 1/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
BR-005,"BARRA ROSC ZB 3/8"" X 3/8""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
BR-006,"BARRA ROSC ZB 5/16"" X 5/16""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
CT-001,CAIXA DE TOMADA-CORPO,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
CT-002,CAIXA DE TOMADA-TAMPA,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
CANT-001,CANTON. REFORC. 2 FUROS,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
CANT-002,CANTON. SIMPLES 2 FUROS,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
CANT-003,CANTONEIRA REFOR 4 FUROS,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
CANT-004,CANTONEIRA ZZ-19X38 19x38,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
CANT-005,CANTONEIRA ZZ-38X38 38x38,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
COMP-001,COMPLEMENTO T-X,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
CUNH-001,CUNHA AVULSA,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
EC-001,ELETROCALHA 50x50,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
EC-002,ELETROCALHA 100x50,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
EC-003,ELETROCALHA 100x100,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
EC-004,EMENDA U ELETROCALHA 50x50,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
EC-005,EMENDA U ELETROCALHA 75x50,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
EC-006,EMENDA U ELETROCALHA 100x50,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
EC-007,EMENDA U ELETROCALHA 100x100,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
EC-008,EMENDA U ELETROCALHA 150x50,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
EC-009,EMENDA U ELETROCALHA 150x100,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
EC-010,EMENDA U ELETROCALHA 200x100,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
EC-011,EMENDA U ELETROCALHA 300x100,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
